FIPS,Name,year_month,SF_permits,MF_permits,All_permits
45001,Abbeville-County,202403,17,0,17
45001,Abbeville-County,202404,13,0,13
45001,Abbeville-County,202405,9,0,9
45001,Abbeville-County,202406,19,0,19
45001,Abbeville-County,202407,12,0,12
45001,Abbeville-County,202408,15,0,15
45001,Abbeville-County,202409,10,0,10
45001,Abbeville-County,202410,8,0,8
45001,Abbeville-County,202411,18,0,18
45001,Abbeville-County,202412,6,0,6
45001,Abbeville-County,202501,23,0,23
45001,Abbeville-County,202502,14,0,14
45001,Abbeville-County,202503,13,0,13
45001,Abbeville-County,202504,6,0,6
45001,Abbeville-County,202505,17,0,17
45001,Abbeville-County,202506,12,0,12
45001,Abbeville-County,202506,12,0,12
45001,Abbeville-County,202507,14,0,14
45001,Abbeville-County,202508,12,0,12
37125,Aberdeen,202403,6,0,6
37125,Aberdeen,202404,22,0,22
37125,Aberdeen,202405,21,0,21
37125,Aberdeen,202406,10,0,10
37125,Aberdeen,202407,12,0,12
37125,Aberdeen,202408,22,0,22
37125,Aberdeen,202409,22,0,22
37125,Aberdeen,202410,30,0,30
37125,Aberdeen,202411,18,0,18
37125,Aberdeen,202412,14,0,14
37125,Aberdeen,202501,27,0,27
37125,Aberdeen,202502,22,0,22
37125,Aberdeen,202503,39,0,39
37125,Aberdeen,202504,25,0,25
37125,Aberdeen,202505,20,0,20
37125,Aberdeen,202506,21,0,21
37125,Aberdeen,202506,21,0,21
37125,Aberdeen,202507,38,0,38
37125,Aberdeen,202508,7,0,7
13067,Acworth,202403,8,0,8
13067,Acworth,202404,2,4,6
13067,Acworth,202405,10,0,10
13067,Acworth,202406,1,8,9
13067,Acworth,202407,31,0,31
13067,Acworth,202408,5,0,5
13067,Acworth,202409,1,0,1
13067,Acworth,202410,10,0,10
13067,Acworth,202411,0,0,0
13067,Acworth,202412,13,0,13
13067,Acworth,202501,0,0,0
13067,Acworth,202502,21,0,21
13067,Acworth,202503,1,0,1
13067,Acworth,202504,17,0,17
13067,Acworth,202505,4,0,4
13067,Acworth,202506,0,0,0
13067,Acworth,202506,0,0,0
13067,Acworth,202507,0,0,0
13067,Acworth,202508,4,0,4
13015,Adairsville,202403,6,0,6
13015,Adairsville,202404,2,0,2
13015,Adairsville,202405,3,0,3
13015,Adairsville,202406,1,0,1
13015,Adairsville,202407,7,0,7
13015,Adairsville,202408,9,0,9
13015,Adairsville,202409,5,0,5
13015,Adairsville,202410,1,0,1
13015,Adairsville,202411,11,0,11
13015,Adairsville,202412,1,0,1
13015,Adairsville,202501,11,0,11
13015,Adairsville,202502,5,0,5
13015,Adairsville,202503,2,0,2
13015,Adairsville,202504,4,0,4
13015,Adairsville,202505,5,0,5
13015,Adairsville,202506,5,0,5
13015,Adairsville,202506,5,0,5
13015,Adairsville,202507,4,0,4
13015,Adairsville,202508,4,0,4
13075,Adel,202403,2,0,2
13075,Adel,202404,2,0,2
13075,Adel,202405,2,0,2
13075,Adel,202406,2,0,2
13075,Adel,202407,2,0,2
13075,Adel,202408,2,0,2
13075,Adel,202409,1,0,1
13075,Adel,202410,0,0,0
13075,Adel,202411,1,0,1
13075,Adel,202412,2,0,2
13075,Adel,202501,2,0,2
13075,Adel,202502,1,0,1
13075,Adel,202503,2,0,2
13075,Adel,202504,2,0,2
13075,Adel,202505,2,0,2
13075,Adel,202506,2,0,2
13075,Adel,202506,2,0,2
13075,Adel,202507,2,0,2
13075,Adel,202508,2,0,2
37091,Ahoskie,202403,0,0,0
37091,Ahoskie,202404,0,0,0
37091,Ahoskie,202405,1,0,1
37091,Ahoskie,202406,0,0,0
37091,Ahoskie,202407,0,0,0
37091,Ahoskie,202408,0,0,0
37091,Ahoskie,202409,0,0,0
37091,Ahoskie,202410,1,0,1
37091,Ahoskie,202411,0,0,0
37091,Ahoskie,202412,0,0,0
37091,Ahoskie,202501,0,0,0
37091,Ahoskie,202502,0,0,0
37091,Ahoskie,202503,0,0,0
37091,Ahoskie,202504,0,0,0
37091,Ahoskie,202505,0,0,0
37091,Ahoskie,202506,1,0,1
37091,Ahoskie,202506,1,0,1
37091,Ahoskie,202507,0,0,0
37091,Ahoskie,202508,0,0,0
45003,Aiken,202403,10,0,10
45003,Aiken,202404,20,0,20
45003,Aiken,202405,8,60,68
45003,Aiken,202406,17,332,349
45003,Aiken,202407,20,2,22
45003,Aiken,202408,7,0,7
45003,Aiken,202409,43,256,299
45003,Aiken,202410,9,0,9
45003,Aiken,202411,19,60,79
45003,Aiken,202412,10,0,10
45003,Aiken,202501,3,0,3
45003,Aiken,202502,11,0,11
45003,Aiken,202503,5,0,5
45003,Aiken,202504,16,0,16
45003,Aiken,202505,5,0,5
45003,Aiken,202506,13,0,13
45003,Aiken,202506,13,0,13
45003,Aiken,202507,13,0,13
45003,Aiken,202508,15,0,15
45003,Aiken-County-U.A.,202403,92,0,92
45003,Aiken-County-U.A.,202404,101,0,101
45003,Aiken-County-U.A.,202405,101,0,101
45003,Aiken-County-U.A.,202406,104,0,104
45003,Aiken-County-U.A.,202407,91,0,91
45003,Aiken-County-U.A.,202408,91,0,91
45003,Aiken-County-U.A.,202409,76,0,76
45003,Aiken-County-U.A.,202410,86,0,86
45003,Aiken-County-U.A.,202411,70,0,70
45003,Aiken-County-U.A.,202412,70,0,70
45003,Aiken-County-U.A.,202501,83,0,83
45003,Aiken-County-U.A.,202502,88,0,88
45003,Aiken-County-U.A.,202503,93,0,93
45003,Aiken-County-U.A.,202504,96,0,96
45003,Aiken-County-U.A.,202505,94,0,94
45003,Aiken-County-U.A.,202506,87,0,87
45003,Aiken-County-U.A.,202506,87,0,87
45003,Aiken-County-U.A.,202507,89,0,89
45003,Aiken-County-U.A.,202508,78,0,78
13209,Ailey,202403,0,0,0
13209,Ailey,202404,0,0,0
13209,Ailey,202405,0,0,0
13209,Ailey,202406,0,0,0
13209,Ailey,202407,0,0,0
13209,Ailey,202408,1,0,1
13209,Ailey,202409,0,0,0
13209,Ailey,202410,0,0,0
13209,Ailey,202411,0,0,0
13209,Ailey,202412,0,0,0
13209,Ailey,202501,0,0,0
13209,Ailey,202502,0,0,0
13209,Ailey,202503,0,0,0
13209,Ailey,202504,0,0,0
13209,Ailey,202505,0,0,0
13209,Ailey,202506,0,0,0
13209,Ailey,202506,0,0,0
13209,Ailey,202507,0,0,0
13209,Ailey,202508,0,0,0
37001,Alamance-County-U.A.,202403,83,0,83
37001,Alamance-County-U.A.,202404,94,0,94
37001,Alamance-County-U.A.,202405,100,0,100
37001,Alamance-County-U.A.,202406,80,0,80
37001,Alamance-County-U.A.,202407,75,0,75
37001,Alamance-County-U.A.,202408,116,0,116
37001,Alamance-County-U.A.,202409,78,0,78
37001,Alamance-County-U.A.,202410,67,0,67
37001,Alamance-County-U.A.,202411,60,0,60
37001,Alamance-County-U.A.,202412,55,0,55
37001,Alamance-County-U.A.,202501,61,0,61
37001,Alamance-County-U.A.,202502,93,0,93
37001,Alamance-County-U.A.,202503,128,0,128
37001,Alamance-County-U.A.,202504,99,0,99
37001,Alamance-County-U.A.,202505,101,0,101
37001,Alamance-County-U.A.,202506,85,0,85
37001,Alamance-County-U.A.,202506,85,0,85
37001,Alamance-County-U.A.,202507,73,0,73
37001,Alamance-County-U.A.,202508,67,0,67
13309,Alamo,202403,0,0,0
13309,Alamo,202404,0,0,0
13309,Alamo,202405,0,0,0
13309,Alamo,202406,0,0,0
13309,Alamo,202407,0,0,0
13309,Alamo,202408,0,0,0
13309,Alamo,202409,0,0,0
13309,Alamo,202410,0,0,0
13309,Alamo,202411,0,0,0
13309,Alamo,202412,0,0,0
13309,Alamo,202501,0,0,0
13309,Alamo,202502,0,0,0
13309,Alamo,202503,0,0,0
13309,Alamo,202504,0,0,0
13309,Alamo,202505,0,0,0
13309,Alamo,202506,0,0,0
13309,Alamo,202506,0,0,0
13309,Alamo,202507,0,0,0
13309,Alamo,202508,0,0,0
13095,Albany,202403,2,0,2
13095,Albany,202404,3,5,8
13095,Albany,202405,2,5,7
13095,Albany,202406,2,0,2
13095,Albany,202407,2,0,2
13095,Albany,202408,2,0,2
13095,Albany,202409,2,0,2
13095,Albany,202410,2,0,2
13095,Albany,202411,2,5,7
13095,Albany,202412,2,5,7
13095,Albany,202501,2,0,2
13095,Albany,202502,2,0,2
13095,Albany,202503,2,0,2
13095,Albany,202504,2,0,2
13095,Albany,202505,2,5,7
13095,Albany,202506,5,0,5
13095,Albany,202506,5,0,5
13095,Albany,202507,4,0,4
13095,Albany,202508,3,0,3
37003,Alexander-County,202403,10,0,10
37003,Alexander-County,202404,11,0,11
37003,Alexander-County,202405,11,0,11
37003,Alexander-County,202406,9,0,9
37003,Alexander-County,202407,10,0,10
37003,Alexander-County,202408,10,0,10
37003,Alexander-County,202409,8,0,8
37003,Alexander-County,202410,9,0,9
37003,Alexander-County,202411,7,0,7
37003,Alexander-County,202412,8,0,8
37003,Alexander-County,202501,9,0,9
37003,Alexander-County,202502,9,0,9
37003,Alexander-County,202503,10,0,10
37003,Alexander-County,202504,10,0,10
37003,Alexander-County,202505,10,0,10
37003,Alexander-County,202506,9,0,9
37003,Alexander-County,202506,9,0,9
37003,Alexander-County,202507,9,0,9
37003,Alexander-County,202508,8,0,8
37005,Alleghany-County,202403,3,0,3
37005,Alleghany-County,202404,11,0,11
37005,Alleghany-County,202405,9,0,9
37005,Alleghany-County,202406,11,0,11
37005,Alleghany-County,202407,11,0,11
37005,Alleghany-County,202408,11,0,11
37005,Alleghany-County,202409,5,0,5
37005,Alleghany-County,202410,5,0,5
37005,Alleghany-County,202411,4,0,4
37005,Alleghany-County,202412,9,0,9
37005,Alleghany-County,202501,5,0,5
37005,Alleghany-County,202502,9,0,9
37005,Alleghany-County,202503,6,0,6
37005,Alleghany-County,202504,6,0,6
37005,Alleghany-County,202505,6,0,6
37005,Alleghany-County,202506,9,0,9
37005,Alleghany-County,202506,9,0,9
37005,Alleghany-County,202507,6,0,6
37005,Alleghany-County,202508,7,0,7
45005,Allendale,202403,0,0,0
45005,Allendale,202404,0,0,0
45005,Allendale,202405,0,0,0
45005,Allendale,202406,0,0,0
45005,Allendale,202407,0,0,0
45005,Allendale,202408,0,0,0
45005,Allendale,202409,0,0,0
45005,Allendale,202410,0,0,0
45005,Allendale,202411,0,0,0
45005,Allendale,202412,0,0,0
45005,Allendale,202501,0,0,0
45005,Allendale,202502,0,0,0
45005,Allendale,202503,0,0,0
45005,Allendale,202504,0,0,0
45005,Allendale,202505,0,0,0
45005,Allendale,202506,0,0,0
45005,Allendale,202506,0,0,0
45005,Allendale,202507,0,0,0
45005,Allendale,202508,0,0,0
45005,Allendale-County-U.A.,202403,0,0,0
45005,Allendale-County-U.A.,202404,0,0,0
45005,Allendale-County-U.A.,202405,0,0,0
45005,Allendale-County-U.A.,202406,0,0,0
45005,Allendale-County-U.A.,202407,0,0,0
45005,Allendale-County-U.A.,202408,0,0,0
45005,Allendale-County-U.A.,202409,0,0,0
45005,Allendale-County-U.A.,202410,1,0,1
45005,Allendale-County-U.A.,202411,1,0,1
45005,Allendale-County-U.A.,202412,1,0,1
45005,Allendale-County-U.A.,202501,1,0,1
45005,Allendale-County-U.A.,202502,0,0,0
45005,Allendale-County-U.A.,202503,0,0,0
45005,Allendale-County-U.A.,202504,0,0,0
45005,Allendale-County-U.A.,202505,0,0,0
45005,Allendale-County-U.A.,202506,0,0,0
45005,Allendale-County-U.A.,202506,0,0,0
45005,Allendale-County-U.A.,202507,0,0,0
45005,Allendale-County-U.A.,202508,0,0,0
13005,Alma,202403,0,0,0
13005,Alma,202404,0,0,0
13005,Alma,202405,0,0,0
13005,Alma,202406,0,0,0
13005,Alma,202407,0,0,0
13005,Alma,202408,0,0,0
13005,Alma,202409,0,0,0
13005,Alma,202410,0,0,0
13005,Alma,202411,0,0,0
13005,Alma,202412,0,0,0
13005,Alma,202501,0,0,0
13005,Alma,202502,0,0,0
13005,Alma,202503,0,0,0
13005,Alma,202504,0,0,0
13005,Alma,202505,0,0,0
13005,Alma,202506,0,0,0
13005,Alma,202506,0,0,0
13005,Alma,202507,0,0,0
13005,Alma,202508,0,0,0
13121,Alpharetta,202403,5,0,5
13121,Alpharetta,202404,13,0,13
13121,Alpharetta,202405,26,0,26
13121,Alpharetta,202406,18,0,18
13121,Alpharetta,202407,32,0,32
13121,Alpharetta,202408,39,0,39
13121,Alpharetta,202409,15,0,15
13121,Alpharetta,202410,23,0,23
13121,Alpharetta,202411,13,0,13
13121,Alpharetta,202412,4,0,4
13121,Alpharetta,202501,35,0,35
13121,Alpharetta,202502,23,0,23
13121,Alpharetta,202503,32,0,32
13121,Alpharetta,202504,20,0,20
13121,Alpharetta,202505,27,0,27
13121,Alpharetta,202506,49,0,49
13121,Alpharetta,202506,49,0,49
13121,Alpharetta,202507,25,0,25
13121,Alpharetta,202508,14,0,14
13137,Alto,202403,0,0,0
13137,Alto,202404,0,0,0
13137,Alto,202405,0,0,0
13137,Alto,202406,0,0,0
13137,Alto,202407,0,0,0
13137,Alto,202408,0,0,0
13137,Alto,202409,0,0,0
13137,Alto,202410,0,0,0
13137,Alto,202411,0,0,0
13137,Alto,202412,0,0,0
13137,Alto,202501,0,0,0
13137,Alto,202502,0,0,0
13137,Alto,202503,0,0,0
13137,Alto,202504,0,0,0
13137,Alto,202505,0,0,0
13137,Alto,202506,0,0,0
13137,Alto,202506,0,0,0
13137,Alto,202507,0,0,0
13137,Alto,202508,0,0,0
13261,Americus,202403,0,5,5
13261,Americus,202404,0,0,0
13261,Americus,202405,0,0,0
13261,Americus,202406,0,0,0
13261,Americus,202407,0,0,0
13261,Americus,202408,0,0,0
13261,Americus,202409,0,0,0
13261,Americus,202410,0,0,0
13261,Americus,202411,0,0,0
13261,Americus,202412,0,0,0
13261,Americus,202501,0,0,0
13261,Americus,202502,0,0,0
13261,Americus,202503,0,0,0
13261,Americus,202504,0,0,0
13261,Americus,202505,0,0,0
13261,Americus,202506,0,0,0
13261,Americus,202506,0,0,0
13261,Americus,202507,0,0,0
13261,Americus,202508,0,0,0
45007,Anderson,202403,16,0,16
45007,Anderson,202404,13,0,13
45007,Anderson,202405,13,0,13
45007,Anderson,202406,0,0,0
45007,Anderson,202407,8,0,8
45007,Anderson,202408,14,0,14
45007,Anderson,202409,10,0,10
45007,Anderson,202410,16,0,16
45007,Anderson,202411,8,2,10
45007,Anderson,202412,16,18,34
45007,Anderson,202501,28,6,34
45007,Anderson,202502,21,0,21
45007,Anderson,202503,16,5,21
45007,Anderson,202504,24,8,32
45007,Anderson,202505,23,0,23
45007,Anderson,202506,20,0,20
45007,Anderson,202506,20,0,20
45007,Anderson,202507,22,0,22
45007,Anderson,202508,8,0,8
45007,Anderson-County-U.A.,202403,114,0,114
45007,Anderson-County-U.A.,202404,84,4,88
45007,Anderson-County-U.A.,202405,69,26,95
45007,Anderson-County-U.A.,202406,92,0,92
45007,Anderson-County-U.A.,202407,76,20,96
45007,Anderson-County-U.A.,202408,74,14,88
45007,Anderson-County-U.A.,202409,111,8,119
45007,Anderson-County-U.A.,202410,73,22,95
45007,Anderson-County-U.A.,202411,55,8,63
45007,Anderson-County-U.A.,202412,65,16,81
45007,Anderson-County-U.A.,202501,95,8,103
45007,Anderson-County-U.A.,202502,83,44,127
45007,Anderson-County-U.A.,202503,85,45,130
45007,Anderson-County-U.A.,202504,108,0,108
45007,Anderson-County-U.A.,202505,103,14,117
45007,Anderson-County-U.A.,202506,98,42,140
45007,Anderson-County-U.A.,202506,98,42,140
45007,Anderson-County-U.A.,202507,23,14,37
45007,Anderson-County-U.A.,202508,124,0,124
45043,Andrews,202403,0,0,0
45043,Andrews,202404,0,0,0
45043,Andrews,202405,0,0,0
45043,Andrews,202406,0,0,0
45043,Andrews,202407,0,0,0
45043,Andrews,202408,0,0,0
45043,Andrews,202409,0,0,0
45043,Andrews,202410,0,0,0
45043,Andrews,202411,0,0,0
45043,Andrews,202412,0,0,0
45043,Andrews,202501,0,0,0
45043,Andrews,202502,0,0,0
45043,Andrews,202503,0,0,0
45043,Andrews,202504,0,0,0
45043,Andrews,202505,0,0,0
45043,Andrews,202506,0,0,0
45043,Andrews,202506,0,0,0
45043,Andrews,202507,0,0,0
45043,Andrews,202508,0,0,0
37085,Angier,202403,27,0,27
37085,Angier,202404,38,0,38
37085,Angier,202405,38,0,38
37085,Angier,202406,34,0,34
37085,Angier,202407,71,0,71
37085,Angier,202408,34,0,34
37085,Angier,202409,71,0,71
37085,Angier,202410,33,0,33
37085,Angier,202411,27,0,27
37085,Angier,202412,28,0,28
37085,Angier,202501,32,0,32
37085,Angier,202502,34,0,34
37085,Angier,202503,35,0,35
37085,Angier,202504,43,0,43
37085,Angier,202505,42,0,42
37085,Angier,202506,39,0,39
37085,Angier,202506,39,0,39
37085,Angier,202507,40,0,40
37085,Angier,202508,35,0,35
37007,Anson-County-U.A.,202403,5,0,5
37007,Anson-County-U.A.,202404,6,0,6
37007,Anson-County-U.A.,202405,5,0,5
37007,Anson-County-U.A.,202406,4,0,4
37007,Anson-County-U.A.,202407,4,0,4
37007,Anson-County-U.A.,202408,5,0,5
37007,Anson-County-U.A.,202409,4,0,4
37007,Anson-County-U.A.,202410,4,0,4
37007,Anson-County-U.A.,202411,4,0,4
37007,Anson-County-U.A.,202412,4,0,4
37007,Anson-County-U.A.,202501,4,0,4
37007,Anson-County-U.A.,202502,4,0,4
37007,Anson-County-U.A.,202503,5,0,5
37007,Anson-County-U.A.,202504,5,0,5
37007,Anson-County-U.A.,202505,5,0,5
37007,Anson-County-U.A.,202506,5,0,5
37007,Anson-County-U.A.,202506,5,0,5
37007,Anson-County-U.A.,202507,5,0,5
37007,Anson-County-U.A.,202508,4,0,4
37183,Apex,202403,82,236,318
37183,Apex,202404,86,157,243
37183,Apex,202405,101,0,101
37183,Apex,202406,117,11,128
37183,Apex,202407,124,12,136
37183,Apex,202408,133,0,133
37183,Apex,202409,139,228,367
37183,Apex,202410,95,0,95
37183,Apex,202411,92,0,92
37183,Apex,202412,100,0,100
37183,Apex,202501,90,0,90
37183,Apex,202502,89,193,282
37183,Apex,202503,66,0,66
37183,Apex,202504,46,177,223
37183,Apex,202505,34,0,34
37183,Apex,202506,35,0,35
37183,Apex,202506,35,0,35
37183,Apex,202507,69,0,69
37183,Apex,202508,63,0,63
13081,Arabi,202403,0,0,0
13081,Arabi,202404,0,0,0
13081,Arabi,202405,0,0,0
13081,Arabi,202406,0,0,0
13081,Arabi,202407,0,0,0
13081,Arabi,202408,0,0,0
13081,Arabi,202409,0,0,0
13081,Arabi,202410,0,0,0
13081,Arabi,202411,0,0,0
13081,Arabi,202412,0,0,0
13081,Arabi,202501,0,0,0
13081,Arabi,202502,0,0,0
13081,Arabi,202503,0,0,0
13081,Arabi,202504,0,0,0
13081,Arabi,202505,0,0,0
13081,Arabi,202506,0,0,0
13081,Arabi,202506,0,0,0
13081,Arabi,202507,0,0,0
13081,Arabi,202508,0,0,0
13233,Aragon,202403,0,0,0
13233,Aragon,202404,0,0,0
13233,Aragon,202405,0,0,0
13233,Aragon,202406,0,0,0
13233,Aragon,202407,0,0,0
13233,Aragon,202408,0,0,0
13233,Aragon,202409,0,0,0
13233,Aragon,202410,0,0,0
13233,Aragon,202411,0,0,0
13233,Aragon,202412,0,0,0
13233,Aragon,202501,0,0,0
13233,Aragon,202502,0,0,0
13233,Aragon,202503,0,0,0
13233,Aragon,202504,0,0,0
13233,Aragon,202505,0,0,0
13233,Aragon,202506,0,0,0
13233,Aragon,202506,0,0,0
13233,Aragon,202507,0,0,0
13233,Aragon,202508,0,0,0
13157,Arcade,202403,1,0,1
13157,Arcade,202404,0,0,0
13157,Arcade,202405,0,0,0
13157,Arcade,202406,0,0,0
13157,Arcade,202407,0,0,0
13157,Arcade,202408,1,0,1
13157,Arcade,202409,1,0,1
13157,Arcade,202410,0,0,0
13157,Arcade,202411,0,0,0
13157,Arcade,202412,0,0,0
13157,Arcade,202501,1,0,1
13157,Arcade,202502,1,0,1
13157,Arcade,202503,1,0,1
13157,Arcade,202504,0,0,0
13157,Arcade,202505,0,0,0
13157,Arcade,202506,5,0,5
13157,Arcade,202506,5,0,5
13157,Arcade,202507,1,0,1
13157,Arcade,202508,1,0,1
45079,Arcadia-Lakes,202403,0,0,0
45079,Arcadia-Lakes,202404,0,0,0
45079,Arcadia-Lakes,202405,0,0,0
45079,Arcadia-Lakes,202406,0,0,0
45079,Arcadia-Lakes,202407,0,0,0
45079,Arcadia-Lakes,202408,0,0,0
45079,Arcadia-Lakes,202409,0,0,0
45079,Arcadia-Lakes,202410,0,0,0
45079,Arcadia-Lakes,202411,0,0,0
45079,Arcadia-Lakes,202412,0,0,0
45079,Arcadia-Lakes,202501,0,0,0
45079,Arcadia-Lakes,202502,0,0,0
45079,Arcadia-Lakes,202503,0,0,0
45079,Arcadia-Lakes,202504,0,0,0
45079,Arcadia-Lakes,202505,0,0,0
45079,Arcadia-Lakes,202506,0,0,0
45079,Arcadia-Lakes,202506,0,0,0
45079,Arcadia-Lakes,202507,0,0,0
45079,Arcadia-Lakes,202508,0,0,0
13037,Arlington,202403,0,0,0
13037,Arlington,202404,0,0,0
13037,Arlington,202405,0,0,0
13037,Arlington,202406,0,0,0
13037,Arlington,202407,0,0,0
13037,Arlington,202408,0,0,0
13037,Arlington,202409,0,0,0
13037,Arlington,202410,0,0,0
13037,Arlington,202411,0,0,0
13037,Arlington,202412,0,0,0
13037,Arlington,202501,0,0,0
13037,Arlington,202502,0,0,0
13037,Arlington,202503,0,0,0
13037,Arlington,202504,0,0,0
13037,Arlington,202505,0,0,0
13037,Arlington,202506,0,0,0
13037,Arlington,202506,0,0,0
13037,Arlington,202507,0,0,0
13037,Arlington,202508,0,0,0
37009,Ashe-County,202403,19,0,19
37009,Ashe-County,202404,23,0,23
37009,Ashe-County,202405,18,0,18
37009,Ashe-County,202406,16,0,16
37009,Ashe-County,202407,19,0,19
37009,Ashe-County,202408,20,0,20
37009,Ashe-County,202409,15,0,15
37009,Ashe-County,202410,13,0,13
37009,Ashe-County,202411,9,0,9
37009,Ashe-County,202412,12,0,12
37009,Ashe-County,202501,10,0,10
37009,Ashe-County,202502,13,0,13
37009,Ashe-County,202503,17,0,17
37009,Ashe-County,202504,18,0,18
37009,Ashe-County,202505,18,0,18
37009,Ashe-County,202506,15,0,15
37009,Ashe-County,202506,15,0,15
37009,Ashe-County,202507,17,0,17
37009,Ashe-County,202508,14,0,14
37151,Asheboro,202403,2,0,2
37151,Asheboro,202404,17,14,31
37151,Asheboro,202405,2,2,4
37151,Asheboro,202406,2,4,6
37151,Asheboro,202407,4,8,12
37151,Asheboro,202408,3,0,3
37151,Asheboro,202409,2,2,4
37151,Asheboro,202410,2,2,4
37151,Asheboro,202411,3,0,3
37151,Asheboro,202412,3,4,7
37151,Asheboro,202501,0,0,0
37151,Asheboro,202502,12,0,12
37151,Asheboro,202503,1,0,1
37151,Asheboro,202504,4,0,4
37151,Asheboro,202505,4,54,58
37151,Asheboro,202506,1,12,13
37151,Asheboro,202506,1,12,13
37151,Asheboro,202507,3,2,5
37151,Asheboro,202508,6,4,10
37021,Asheville,202403,35,6,41
37021,Asheville,202404,32,8,40
37021,Asheville,202405,32,7,39
37021,Asheville,202406,27,7,34
37021,Asheville,202407,28,8,36
37021,Asheville,202408,28,8,36
37021,Asheville,202409,24,6,30
37021,Asheville,202410,28,6,34
37021,Asheville,202411,22,7,29
37021,Asheville,202412,24,7,31
37021,Asheville,202501,26,8,34
37021,Asheville,202502,27,31,58
37021,Asheville,202503,29,34,63
37021,Asheville,202504,25,29,54
37021,Asheville,202505,23,31,54
37021,Asheville,202506,22,29,51
37021,Asheville,202506,22,29,51
37021,Asheville,202507,22,31,53
37021,Asheville,202508,20,35,55
13059,Athens-Clarke-County,202403,22,0,22
13059,Athens-Clarke-County,202404,27,14,41
13059,Athens-Clarke-County,202405,15,12,27
13059,Athens-Clarke-County,202406,11,305,316
13059,Athens-Clarke-County,202407,24,162,186
13059,Athens-Clarke-County,202408,22,0,22
13059,Athens-Clarke-County,202409,7,12,19
13059,Athens-Clarke-County,202410,19,84,103
13059,Athens-Clarke-County,202411,22,0,22
13059,Athens-Clarke-County,202412,10,179,189
13059,Athens-Clarke-County,202501,27,0,27
13059,Athens-Clarke-County,202502,20,30,50
13059,Athens-Clarke-County,202503,17,432,449
13059,Athens-Clarke-County,202504,10,0,10
13059,Athens-Clarke-County,202505,14,5,19
13059,Athens-Clarke-County,202506,7,0,7
13059,Athens-Clarke-County,202506,7,0,7
13059,Athens-Clarke-County,202507,18,0,18
13059,Athens-Clarke-County,202508,10,46,56
13003,Atkinson-County,202403,0,0,0
13003,Atkinson-County,202404,2,0,2
13003,Atkinson-County,202405,2,0,2
13003,Atkinson-County,202406,2,0,2
13003,Atkinson-County,202407,2,0,2
13003,Atkinson-County,202408,2,0,2
13003,Atkinson-County,202409,1,0,1
13003,Atkinson-County,202410,2,0,2
13003,Atkinson-County,202411,2,0,2
13003,Atkinson-County,202412,2,0,2
13003,Atkinson-County,202501,2,0,2
13003,Atkinson-County,202502,2,0,2
13003,Atkinson-County,202503,2,0,2
13003,Atkinson-County,202504,1,0,1
13003,Atkinson-County,202505,2,0,2
13003,Atkinson-County,202506,1,0,1
13003,Atkinson-County,202506,1,0,1
13003,Atkinson-County,202507,2,0,2
13003,Atkinson-County,202508,2,0,2
13121,Atlanta,202403,95,841,936
13121,Atlanta,202404,76,523,599
13121,Atlanta,202405,69,532,601
13121,Atlanta,202406,36,402,438
13121,Atlanta,202407,64,566,630
13121,Atlanta,202408,80,363,443
13121,Atlanta,202409,37,953,990
13121,Atlanta,202410,98,403,501
13121,Atlanta,202411,35,251,286
13121,Atlanta,202412,96,1397,1493
13121,Atlanta,202501,58,690,748
13121,Atlanta,202502,33,486,519
13121,Atlanta,202503,39,297,336
13121,Atlanta,202504,77,201,278
13121,Atlanta,202505,46,740,786
13121,Atlanta,202506,95,195,290
13121,Atlanta,202506,95,195,290
13121,Atlanta,202507,49,469,518
13121,Atlanta,202508,31,158,189
45051,Atlantic-Beach,202403,0,5,5
45051,Atlantic-Beach,202404,0,5,5
45051,Atlantic-Beach,202405,0,5,5
45051,Atlantic-Beach,202406,0,5,5
45051,Atlantic-Beach,202407,0,5,5
45051,Atlantic-Beach,202408,0,5,5
45051,Atlantic-Beach,202409,0,5,5
45051,Atlantic-Beach,202410,0,5,5
45051,Atlantic-Beach,202411,0,5,5
45051,Atlantic-Beach,202412,0,5,5
45051,Atlantic-Beach,202501,0,5,5
45051,Atlantic-Beach,202502,0,10,10
45051,Atlantic-Beach,202503,0,5,5
45051,Atlantic-Beach,202504,0,5,5
45051,Atlantic-Beach,202505,0,5,5
45051,Atlantic-Beach,202506,0,5,5
45051,Atlantic-Beach,202506,0,5,5
45051,Atlantic-Beach,202507,0,5,5
45051,Atlantic-Beach,202508,0,5,5
13013,Auburn,202403,13,0,13
13013,Auburn,202404,10,0,10
13013,Auburn,202405,0,0,0
13013,Auburn,202406,0,0,0
13013,Auburn,202407,7,0,7
13013,Auburn,202408,0,0,0
13013,Auburn,202409,0,0,0
13013,Auburn,202410,0,0,0
13013,Auburn,202411,0,0,0
13013,Auburn,202412,0,0,0
13013,Auburn,202501,0,0,0
13013,Auburn,202502,0,0,0
13013,Auburn,202503,0,0,0
13013,Auburn,202504,0,0,0
13013,Auburn,202505,0,0,0
13013,Auburn,202506,51,0,51
13013,Auburn,202506,51,0,51
13013,Auburn,202507,30,0,30
13013,Auburn,202508,26,0,26
13245,Augusta-Richmond-County-U.A.,202403,87,0,87
13245,Augusta-Richmond-County-U.A.,202404,53,0,53
13245,Augusta-Richmond-County-U.A.,202405,35,0,35
13245,Augusta-Richmond-County-U.A.,202406,28,0,28
